id,name,description,price
1339050872,pasemska britanka britanke s FIFE slovenskim rodovnikom,"pasma:britanska kratkodlaka barva /spol: crem bicolur samček skoten :23.8.2018, ime: Ike Kiki cattery *si oče: Lord Kiki cattery*si, modra mati: Haily","800,00 €"
1339087565,Muce iščejo odgovoren dom,"Pred kratkim smo rešile mačje mladiče, ki so že imeli prvi veterinarski obisk. Mucki iščejo odgovorne notranje domove, po možnosti v dvojicah, saj so zelo",Podarim
1339078715,Siva princeska Lola in njen princ Loki (DZZŽ Kranj),"Loki in Lola sta mačja mladiča, ki sta pri meni že od svojega 5.tedna. Temu primerno sta zelo razvajena in zelo scartana. Sta tudi zelo živahna in radovedna",Po dogovoru
1339078508,Lepa in prijazna Miša išče dom (pomagamo pri oddaji),"Miša je mlada, lepa in prijazna muca, ki išče nov dom. Zelo rada se carta, razume se z mački, z mačkam prijaznim psom, z otroki in odraslimi. Je sobno",Podarim
1339078484,Lepotica Mica išče Dom (pomagamo pri oddaji),"Mica je mlada odrasla muca, ocenjeno stara 3 leta, ki ji življenje ni prizaneslo. K najditeljici se je zatekla shirana in vsa šibka, s slabo dlako, kar",Podarim
1339078451,Lubica &amp; Miki iščeta dom (pomagamo pri oddaji),"Lubica in Miki sta se zatekla h gospe, ki ve, da ni dovolj mačke samo hraniti. Tako sta Lubica in Miki sterilizirana/kastriran, gospa jima redno odpravlja",Podarim
1339078448,Mačji faconar Brin (DZZŽ Kranj),"Brin je mali zlati mačkonček, star 4-5 mesece. Karakterno je pravi faconar, neverjetno prijazen, igriv, družaben, sproščen in crkljiv mačji mladiček. Nikogar",Po dogovoru
1339078412,Arya &amp; Alvin iščeta skupen dom (DZZŽ Kranj),"Arya in Alvin sta prekrasen mačji parček, stara 3-4 mesece, ki išče dom. Karakterno sta prijazna, predoča, nežna in igriva, z vsemi združljiva mačja mladička.",Po dogovoru
1339078370,Crkljivka Brina (DZZŽ Kranj),"Brina je zlata in nežna mucka, stara 6 mesecev. Karakterno je nezahtevna, prijazna, umirjena in zelo crkljiva mačja mladička. Družbo ljudi obožuje in bi",Po dogovoru
1339078352,Krasna bratec in sestrica Jack &amp; Jill (DZZŽ Kranj),"Jack in Jill sta prekrasen mačji parček, stara 5-6 mesecev, ki išče dom. Karakterno sta živahna, igriva, zelo prijazna, predoča, z vsemi združljiva mačja",Po dogovoru
1339078319,Mala lepotička Loti (DZZŽ Kranj),"Loti je mala mačja mladička, stara 3 mesece. Karakterno je igriva, prijazna in crkljiva, z vsemi združljiva mucka. Je sobno čista in pridno uporablja mačji",Po dogovoru
1339078301,Mala Luna išče svoj dom (DZZŽ Kranj),"Luna je mala mačja mladička, stara 3 mesece. Karakterno je igriva, prijazna in crkljiva, z vsemi združljiva mucka. Je sobno čista in pridno uporablja mačji",Po dogovoru
1339078283,Lepotec Mun (DZZŽ Kranj),"Mun je mali mačkon, star 3-4 mesece. Karakterno je prijazen, igriv, družaben, sproščen in crkljiv mačji mladiček. Rad ima družbo muc, zato bo v nov dom",Po dogovoru
1339078196,"Mala, nežna, pisana Žana (DZZŽ Kranj)","Mala Žana je nežna, prijazna, cartasta mala muca. Ko stopiclja s svojimi drobnimi tačkami in spotoma dela zvezdice, viha svoj tanek repek in ljubko prede,",Po dogovoru
1339078181,Belo pikasti cartek Žan (DZZŽ Kranj),"Simpatični Žan je bil skoten ocenjeno sredi junija. Je razglistan, razbolhan, testiran na Fiv in Felv (oboje neg.), cepljen, čipiran in kastriran. Žan",Po dogovoru
1339077971,Podarimo muce,"Dobri osebi podarim mlade muce, prevzem v Vinici ( Bela krajina) gsm:031427208","1,00 €"
1339073513,podarim malo muco,"K nam se je zatekla majhna muca, kateri želimo najti topel dom in prijazne lastnike. Muca je stara nekaj tednov. Za več informacij pokličite na 040 317",Podarim
1339073024,Britanka - britanski mladički,Pozdravljeni! Skotili so se nam prekrasni britanski kratkodlaki mucki. Za nov dom bodo pripravljeni takoj ko bodo prvič cepljeni in razgliščeni po 8.11.,"380,00 €"
1339071791,Podarim,"Mucice in mucki Dobrim ljudem, ljubiteljem živali podarim sterilizirane mucke in muce.Muci so stari 7 tednov in so navajeni na čistočo. So prijazni in","1,00 €"
1339071359,Norveska gozdna macka mladici,Trije mladicki cepljeni in vet.pregledani .Oba starsa imamo doma.Brez sms in sporocil.Na vseh slikah so nase muce.inf.031 834 046,"200,00 €"
1339071032,Podarimo dva mucka,"Dva prijazna, pol leta stara mucka, brata, podarimo. Predmestje Ljubljane. Tel.: 041 765 870",Podarim
